Gene,pvalue
WBGene00017828,0.01
WBGene00002087,0.01
WBGene00001755,0.01
WBGene00013874,0.01
WBGene00019354,0.01
WBGene00011451,0.01
WBGene00000004,0.01
WBGene00020981,0.01
WBGene00022167,0.01
WBGene00018269,0.01
WBGene00016263,0.01
WBGene00019827,0.01
WBGene00000515,0.01
WBGene00021344,0.01
WBGene00013552,0.01
WBGene00020185,0.01
WBGene00017427,0.01
WBGene00011739,0.01
WBGene00007707,0.01
WBGene00001149,0.01
WBGene00001758,0.01
WBGene00012982,0.01
WBGene00008110,0.01
WBGene00020556,0.01
WBGene00050904,0.01
WBGene00004876,0.01
WBGene00019628,0.01
WBGene00007112,0.01
WBGene00018806,0.01
WBGene00006618,0.01
WBGene00008553,0.01
WBGene00012819,0.01
WBGene00010796,0.01
WBGene00021743,0.01
WBGene00011880,0.01
WBGene00007878,0.01
WBGene00007234,0.01
WBGene00044121,0.01
WBGene00007926,0.01
WBGene00020587,0.01
WBGene00077636,0.01
WBGene00012463,0.01
WBGene00010983,0.01
WBGene00022766,0.01
WBGene00013514,0.01
WBGene00009730,0.01
WBGene00019935,0.01
WBGene00020684,0.01
WBGene00022201,0.01
WBGene00010994,0.01
WBGene00010111,0.01
WBGene00044134,0.01
WBGene00006324,0.01
WBGene00019529,0.01
WBGene00003479,0.01
WBGene00011201,0.01
WBGene00044204,0.01
WBGene00219964,0.01
WBGene00015971,0.01
WBGene00018150,0.01
WBGene00001770,0.01
WBGene00003636,0.01
WBGene00015778,0.01
WBGene00015278,0.01
WBGene00021747,0.01
WBGene00007500,0.01
WBGene00008165,0.01
WBGene00009403,0.01
WBGene00021817,0.01
WBGene00007203,0.01
WBGene00018011,0.01
WBGene00018678,0.01
WBGene00011292,0.01
WBGene00008979,0.01
WBGene00018006,0.01
WBGene00004034,0.01
WBGene00011181,0.01
WBGene00011988,0.01
WBGene00012999,0.01
WBGene00000250,0.01
WBGene00009551,0.01
WBGene00011872,0.01
WBGene00021979,0.01
WBGene00016192,0.01
WBGene00008840,0.01
WBGene00020259,0.01
WBGene00017448,0.01
WBGene00016292,0.01
WBGene00009441,0.01
WBGene00018885,0.01
WBGene00012220,0.01
WBGene00007944,0.01
WBGene00017992,0.01
WBGene00009346,0.01
WBGene00011410,0.01
WBGene00012585,0.01
WBGene00016767,0.01
WBGene00017467,0.01
WBGene00015807,0.01
WBGene00003499,0.01
WBGene00015733,0.01
WBGene00015389,0.01
WBGene00003086,0.01
WBGene00009508,0.01
WBGene00012935,0.01
