Gene,logFC,logCPM,LR,pvalue,padj
WBGene00007153,0.905225486758793,6.80809980740422,34.3653899072395,4.56774125363796e-9,1.76612876862061e-7
WBGene00008106,-0.905047549720552,0.438875903061452,14.1650079782927,1.6745595532218e-4,0.00184026767440577
WBGene00009296,0.904624806284273,0.405076697232581,8.25167080749786,0.00407145086748609,0.0268309984346249
WBGene00010547,-0.904524528595441,3.53186604299358,35.7665195474514,2.2243782151790103e-9,9.3107574373892e-8
WBGene00012120,-0.904263514245158,3.52247255020904,31.7245322371634,1.77663774864105e-8,5.91672242932466e-7
WBGene00008650,-0.904161121983366,2.44346152626632,32.9159851078571,9.622876294932541e-9,3.41668273117741e-7
WBGene00017975,-0.90408546484683,4.52249703632175,37.3644833957777,9.799046117895601e-10,4.50838466348558e-8
WBGene00019586,-0.904045788293753,5.86393403562102,46.4730012106176,9.28895502889071e-12,6.78093717109022e-10
WBGene00011910,-0.904013872511734,6.86115909550339,51.860537601643,5.95860273347904e-13,5.4690370370503794e-11
WBGene00001487,-0.903731130048314,4.35309837212495,41.299411374382,1.30608216493589e-10,7.543037819645591e-9
WBGene00018903,0.903306977573589,0.551338457870852,9.97365685620161,0.00158795791582062,0.0123355130379084
WBGene00022802,0.903200494061209,1.87728939204447,14.1809032895612,1.6604721158538e-4,0.00182772111666664
WBGene00009998,0.903009000773908,-0.510231083396729,3.12265837857262,0.0772107259732859,0.255517846170056
WBGene00002206,-0.902290332820414,3.79468951323368,24.5635721467413,7.18981412420667e-7,1.55221736317159e-5
WBGene00006409,-0.90200701630255,4.20858691776798,40.4381378033702,2.02940822944387e-10,1.12019072141902e-8
WBGene00008581,-0.901774587073765,3.75576588435522,32.4676846228681,1.21191075407509e-8,4.1678463433173e-7
WBGene00007307,-0.901739019355256,7.64360695187995,28.8758763514292,7.71680408801371e-8,2.16220585372953e-6
WBGene00016025,-0.901385010738022,-0.929145238730471,5.62222032714766,0.0177341682951246,0.0859243994830151
WBGene00014229,-0.901220686775958,4.05874946746162,32.8136610092268,1.01429526051688e-8,3.58275261376123e-7
WBGene00003394,0.900305595653877,0.783318521048142,16.742100632957,4.28201696253426e-5,5.6355872283353e-4
WBGene00006449,-0.900046868970323,7.14099490547089,44.1893573367245,2.9809759185582896e-11,2.00010332770915e-9
WBGene00011269,-0.899158965585959,5.0588527057238,15.4825257828902,8.32715223741457e-5,0.00100910045373716
WBGene00020148,0.898751441454303,4.56168735786571,11.507173269358,6.9328125768774e-4,0.0061960739239967
WBGene00013896,-0.898372150882686,3.09599114296338,12.4197740979079,4.2481162368671e-4,0.00407756598822716
WBGene00006670,-0.897571070927878,-0.26478332338531,10.9646457662332,9.2866697723587e-4,0.00788287085328123
WBGene00017680,-0.897397493036947,-0.472671007678462,5.26991937964662,0.0216970174907311,0.100048987761079
WBGene00017213,-0.896846378695796,3.15344403936367,29.3953068099882,5.90204014668067e-8,1.69893111477795e-6
WBGene00017747,-0.896109264813581,4.38820888722438,8.49703538385364,0.00355725612454839,0.0239733841480828
WBGene00004964,-0.895750849440404,3.06805277623929,33.2218045154645,8.22233552312009e-9,2.97733379557424e-7
WBGene00000757,-0.895545685304792,9.37396949541038,8.32874415900069,0.00390226251650928,0.0258915887373965
WBGene00018124,-0.894796508896353,0.607406489561686,12.3684751261627,4.3664407951093e-4,0.00416921230436408
WBGene00012689,-0.8947281208417,4.85250295602701,36.4298269757036,1.58262679172666e-9,6.89879115024161e-8
WBGene00020386,-0.894639903636395,2.86125919020475,7.11864787422157,0.0076286219361235,0.0445464004909089
WBGene00020703,0.894575795912936,1.71715817423899,11.6959845064005,6.2635120516833e-4,0.00567384653920691
WBGene00019190,-0.894007582997436,0.945414598887987,10.5270502948966,0.00117639826257977,0.00956172875241127
WBGene00008354,-0.893957327128256,4.11738332845842,9.51370718352137,0.00203942734124919,0.0151586542130591
WBGene00019782,0.893805736742399,2.97134908054116,5.51242930869247,0.018881803265284,0.0900190463927465
WBGene00022782,-0.893336935491338,2.74006993189579,5.80412481550754,0.0159886235344893,0.0793632945161638
WBGene00015917,-0.893310958294016,4.06519544617164,37.8641083527983,7.58478811260463e-10,3.59850215914301e-8
WBGene00015287,-0.893291440528132,2.68646070513007,22.9298824284887,1.68019436507302e-6,3.26671312101377e-5
WBGene00018591,0.892868596520221,1.68600231872087,5.0295417767338,0.024918490355511,0.111352215716962
WBGene00012679,-0.892486370021107,3.27329131429325,25.7444645033869,3.89743265214994e-7,9.04171346208514e-6
WBGene00015693,-0.891583081808367,5.09087102579774,23.4654501840809,1.27177256586913e-6,2.56556919606983e-5
WBGene00010991,-0.8914678364743,2.60698034035641,26.6009346149658,2.50122727018297e-7,6.12874349214819e-6
WBGene00010992,-0.891460431843904,3.81356308908432,38.0105844912633,7.036188187203321e-10,3.3733038813431e-8
WBGene00014085,-0.891147164024015,2.5970901740384,23.1870765264151,1.46981779072173e-6,2.91145166577478e-5
WBGene00013747,-0.889597158961486,2.39576858358834,20.5924596429006,5.68194683707249e-6,9.56600828197167e-5
