"","gene","TF","Hits"
"649","21ur-8543","400-NHR-6",0
"650","21ur-8543","400-NHR-76",0
"651","21ur-8543","400-NHR-77",0
"652","21ur-8543","400-PHA-4",0
"653","21ur-8543","400-PQM-1",0
"654","21ur-8543","400-R02D3.7",0
"655","21ur-8543","400-R06F6.6",0
"656","21ur-8543","400-RBR-2",0
"657","21ur-8543","400-SKN-1",0
"658","21ur-8543","400-SNPC-4",0
"659","21ur-8543","400-SPR-1",0
"660","21ur-8543","400-UNC-130",0
"661","21ur-8543","400-UNC-39",0
"662","21ur-8543","400-UNC-62",0
"663","21ur-8543","400-ZAG-1",0
"664","21ur-8543","400-ZFP-2",0
"665","21ur-8543","400-ZIP-2",0
"666","21ur-8543","400-ZK546.5",0
"667","21ur-8543","400-ZTF-11",0
"668","21ur-8543","400-ZTF-7",0
"669","21ur-8543","Total Instances of TFs binding within 1000",0
